id,center,class,subclass,bbox,convex,headtail,orient,relevance,mark_tool
"20302.png","219.25 804.25","Unknown","NULL","181.50 763.00 257.00 845.50","182.00 787.50 188.00 769.00 200.50 763.00 221.00 765.50 241.00 786.00 251.00 809.00 257.00 828.50 245.50 836.50 234.00 845.50 216.50 835.50 203.00 826.50 188.50 813.00 181.50 800.00","NULL","NULL",0,"ConvexHull"
"27350.png","469.75 679.50","Unknown","NULL","437.00 641.50 502.50 717.50","437.00 670.50 446.50 653.50 464.00 642.00 479.50 641.50 492.50 649.50 499.50 665.50 502.50 684.50 501.00 700.50 498.00 711.50 484.50 717.50 475.50 716.00 465.00 713.50 450.50 702.00 438.00 685.00","NULL","NULL",0,"ConvexHull"
"27350.png","259.50 487.00","Unknown","NULL","200.50 427.00 318.50 547.00","283.50 547.00 250.00 532.00 230.50 523.50 218.00 509.00 203.00 489.00 200.50 463.00 210.50 446.50 218.00 432.50 230.50 427.50 242.50 427.00 258.50 432.50 276.50 436.50 294.00 444.00 312.00 464.00 318.50 472.50 318.50 486.00 311.50 493.50 306.50 509.50 304.50 520.50 295.50 533.50","NULL","NULL",0,"ConvexHull"
"28940.png","316.50 870.00","Unknown","NULL","265.50 835.50 367.50 904.50","281.50 879.00 265.50 856.50 271.00 836.00 292.50 835.50 308.00 836.00 328.50 844.50 341.50 857.00 354.50 864.50 359.00 874.50 367.50 885.50 362.00 892.50 355.50 904.00 348.00 904.50 321.00 895.00 305.50 890.50","NULL","NULL",0,"ConvexHull"
"28940.png","555.00 101.75","Unknown","NULL","495.50 71.00 614.50 132.50","524.00 129.00 506.50 111.00 495.50 86.50 507.00 75.00 537.00 71.00 571.00 71.50 595.50 72.00 612.50 76.00 614.00 88.50 614.50 100.00 605.00 108.50 590.50 115.50 578.50 126.00 548.50 132.50","NULL","NULL",0,"ConvexHull"
"7569.png","356.88 163.50","Unknown","NULL","308.00 137.00 405.75 190.00","339.25 182.50 327.75 188.00 315.00 182.50 308.00 169.50 315.00 164.00 331.00 160.50 346.00 157.00 354.50 150.50 364.00 146.00 378.00 143.50 395.50 137.00 401.75 143.50 405.75 152.50 403.75 166.50 396.75 179.25 380.00 190.00 355.75 184.25","NULL","NULL",0,"ConvexHull"
"28262.png","833.00 754.75","Unknown","NULL","793.50 703.00 872.50 806.50","824.00 806.50 805.50 794.00 796.00 769.50 793.50 739.00 796.50 722.50 811.00 706.00 827.50 703.00 848.00 710.50 863.00 727.00 872.50 746.00 860.00 762.50 849.00 780.50 836.00 794.50","NULL","NULL",0,"ConvexHull"
"30194.png","511.44 548.38","other","NULL","435.38 474.00 587.50 622.75","465.00 477.75 451.88 482.12 441.62 490.25 437.00 500.38 435.38 519.25 443.75 540.38 446.38 562.88 452.50 577.50 468.12 594.50 485.50 609.75 507.25 618.00 526.00 622.75 547.88 616.25 564.62 605.50 575.88 588.25 586.88 567.38 587.50 543.62 583.88 520.00 579.00 504.00 567.25 487.75 551.75 479.75 539.25 475.75 522.25 474.00 507.50 479.00 493.50 480.50 478.75 479.50","NULL","NULL",0,"ConvexHull"
"6318.png","425.62 915.88","other","NULL","370.50 875.75 480.75 956.00","370.50 910.00 372.50 922.00 379.25 932.00 391.00 938.25 403.75 941.00 413.50 942.25 424.00 947.25 438.00 951.25 449.75 951.50 459.25 956.00 469.50 955.50 477.25 950.50 480.75 933.50 476.50 926.00 478.75 916.75 477.25 908.75 477.25 902.25 475.25 893.25 470.75 886.25 465.50 880.00 458.25 877.25 449.00 876.75 439.75 876.00 430.00 876.00 430.25 875.75 420.75 876.50 410.75 879.50 404.00 885.25 398.00 890.25 389.75 893.75 382.50 897.00 375.25 903.25","NULL","NULL",0,"ConvexHull"
"6318.png","910.57 522.88","other","NULL","857.75 466.75 963.38 579.00","863.25 527.75 868.00 541.00 870.50 550.50 878.75 559.25 888.25 566.50 898.75 569.50 908.25 570.50 918.50 572.50 924.75 577.25 938.50 579.00 944.50 570.12 951.75 562.50 962.12 550.25 963.38 542.25 961.75 535.25 962.12 527.25 963.25 519.75 961.75 510.75 960.38 501.00 959.75 488.00 955.50 478.75 951.88 469.38 938.75 466.75 928.25 468.50 916.75 474.25 904.50 481.12 896.00 489.50 888.00 493.12 879.62 502.00 871.75 511.62 866.00 517.38 861.12 520.62 857.75 524.12 858.25 527.12","NULL","NULL",0,"ConvexHull"
