id,center,class,subclass,bbox,convex,headtail,orient,relevance,mark_tool
"11662.png","216.12 259.75","Unknown","NULL","187.25 229.00 245.00 290.50","201.50 290.50 187.25 279.50 187.25 261.50 207.50 245.50 234.50 229.00 245.00 245.50 236.50 268.00 219.00 279.75","NULL","NULL",0,"ConvexHull"
"11662.png","341.38 282.75","Unknown","NULL","286.50 230.00 396.25 335.50","304.00 334.25 287.75 324.75 286.50 295.00 297.75 275.00 318.00 252.00 332.00 241.00 359.00 233.50 381.00 230.00 393.50 232.25 396.25 236.00 394.25 247.25 382.50 255.50 372.00 264.75 361.25 276.75 349.25 294.25 344.00 307.75 343.50 319.00 337.50 328.00 332.00 334.00 318.25 335.50","NULL","NULL",0,"ConvexHull"
"12174.png","593.00 280.38","Unknown","NULL","550.75 240.50 635.25 320.25","554.50 264.75 568.50 245.50 595.25 240.50 618.50 242.50 628.50 260.50 635.25 271.50 628.75 286.50 621.00 300.75 609.00 313.75 604.00 320.25 593.50 308.50 579.75 303.00 572.75 299.00 574.00 287.75 550.75 275.25","NULL","NULL",0,"ConvexHull"
"12174.png","910.00 403.50","Unknown","NULL","879.50 359.00 940.50 448.00","882.50 444.50 879.50 421.00 885.50 382.00 911.50 359.00 935.00 366.50 940.50 390.50 932.50 416.00 928.00 436.50 904.50 448.00","NULL","NULL",0,"ConvexHull"
"12174.png","930.50 544.00","Unknown","NULL","914.50 523.00 946.50 565.00","916.00 523.50 941.50 523.00 946.50 541.50 937.50 564.50 917.50 565.00 914.50 543.50","NULL","NULL",0,"ConvexHull"
"12471.png","589.50 752.00","Unknown","NULL","513.00 605.00 666.00 899.00","526.00 893.00 513.00 878.00 523.00 852.50 534.00 811.50 544.50 767.50 549.00 736.50 551.00 712.50 554.00 695.00 565.50 672.50 566.00 643.50 576.50 622.00 610.50 605.00 642.50 643.00 650.50 714.50 666.00 748.00 664.75 789.00 655.75 820.75 637.25 849.75 623.50 855.75 627.00 814.00 636.50 787.50 623.50 758.50 606.50 770.50 604.50 813.50 591.00 852.00 579.00 882.00 566.50 895.00 552.00 899.00","NULL","NULL",0,"ConvexHull"
"12471.png","331.00 823.12","Unknown","NULL","279.75 729.75 382.25 916.50","327.50 915.50 309.00 916.50 303.00 894.00 293.50 868.50 306.00 848.50 308.62 837.88 297.12 830.88 293.25 820.75 283.00 790.25 279.75 767.50 285.00 740.75 298.75 729.75 312.75 730.50 323.75 742.00 330.00 755.25 332.00 765.75 335.88 777.25 346.00 785.75 358.38 798.50 370.25 816.12 382.25 836.25 380.50 850.75 370.50 844.75 355.75 820.00 348.50 810.00 342.50 810.75 337.50 818.75 336.25 826.50 338.50 836.00 347.00 852.50 349.00 865.25 335.25 867.00 322.50 864.00 316.75 871.50 321.50 887.25 322.00 899.75","NULL","NULL",0,"ConvexHull"
"12471.png","336.86 454.98","Unknown","NULL","309.24 413.49 364.48 496.47","342.73 413.49 318.73 428.74 310.99 446.48 309.24 464.23 312.23 484.47 317.48 494.22 329.23 496.47 341.98 491.72 355.73 472.98 363.98 451.73 364.48 431.48 355.23 416.24","NULL","NULL",0,"ConvexHull"
"12471.png","457.38 778.25","Unknown","NULL","424.50 730.00 490.25 826.50","465.00 826.50 447.50 820.50 434.00 803.50 425.50 786.00 424.50 769.00 428.00 753.50 436.75 741.75 448.75 730.25 456.75 730.00 464.00 732.50 470.00 737.75 474.25 742.00 474.50 748.00 478.25 755.75 482.00 762.00 485.00 771.00 488.75 780.00 490.25 789.50 483.25 795.00 476.00 802.50 469.50 812.25","NULL","NULL",0,"ConvexHull"
"14183.png","462.50 266.50","Unknown","NULL","421.00 233.25 504.00 299.75","424.00 273.25 436.00 254.75 449.75 254.25 460.00 261.75 493.50 233.25 504.00 239.00 503.50 256.00 498.50 271.50 483.75 287.75 478.00 297.00 469.00 299.75 446.75 299.00 425.25 288.00 421.00 280.75","NULL","NULL",0,"ConvexHull"
"14183.png","624.50 291.12","Unknown","NULL","578.25 250.50 670.75 331.75","582.00 286.75 578.25 269.75 593.00 255.50 612.75 250.50 631.00 256.00 662.50 280.25 670.75 300.25 665.00 319.75 649.25 325.75 631.75 331.75 608.25 331.25 591.25 316.50 583.50 301.25","NULL","NULL",0,"ConvexHull"
"14183.png","172.50 218.25","Unknown","NULL","145.50 196.50 199.50 240.00","145.50 239.50 147.50 214.50 163.50 199.50 177.00 196.50 187.50 203.50 197.00 213.50 199.50 224.50 198.50 230.00 193.50 240.00 181.50 239.50 167.50 238.50","NULL","NULL",0,"ConvexHull"
"14183.png","232.50 215.75","Unknown","NULL","205.50 184.50 259.50 247.00","219.50 244.00 205.50 222.00 210.00 201.00 224.00 187.00 235.00 184.50 247.50 194.00 258.50 213.00 259.50 235.00 259.00 247.00 244.50 244.50 227.00 242.50","NULL","NULL",0,"ConvexHull"
"14183.png","301.00 417.25","Unknown","NULL","277.00 388.50 325.00 446.00","325.00 434.50 311.00 446.00 291.50 443.50 281.00 428.00 277.00 409.50 289.50 393.00 313.00 388.50 319.00 400.50","NULL","NULL",0,"ConvexHull"
"14674.png","182.00 459.75","Unknown","NULL","152.00 410.00 212.00 509.50","186.00 509.50 155.50 496.50 157.00 458.50 152.00 415.50 175.50 410.00 206.00 449.00 212.00 474.00 207.00 496.50","NULL","NULL",0,"ConvexHull"
"16890.png","345.38 321.50","Unknown","NULL","312.25 283.00 378.50 360.00","347.75 359.00 323.75 346.50 312.25 322.25 312.25 306.50 324.50 296.25 334.00 283.00 356.50 287.25 368.00 294.00 375.00 314.25 378.50 335.75 377.25 347.00 367.50 355.50 358.00 360.00","NULL","NULL",0,"ConvexHull"
"16890.png","465.38 397.00","Unknown","NULL","391.75 353.00 539.00 441.00","537.50 408.50 530.50 423.00 510.25 430.25 499.50 434.00 481.00 440.25 466.25 441.00 449.50 435.50 433.75 423.75 418.25 412.25 399.75 395.75 391.75 377.25 394.25 364.00 401.50 358.00 407.25 353.00 416.50 354.25 424.50 361.00 439.00 369.00 446.75 362.25 455.25 362.25 463.00 364.75 469.25 378.50 473.50 394.50 483.00 398.75 494.50 393.50 510.75 391.00 524.50 391.00 535.00 394.25 539.00 403.25","NULL","NULL",0,"ConvexHull"
"16890.png","505.88 159.25","Unknown","NULL","418.00 110.00 593.75 208.50","593.75 201.75 583.50 208.50 557.75 203.50 529.25 193.00 511.50 183.50 478.00 172.00 456.25 162.50 431.00 155.75 419.50 137.25 418.00 125.75 425.50 113.50 436.25 110.00 456.75 111.25 478.50 115.75 500.75 123.50 517.25 130.50 529.25 135.25 547.50 146.50 563.50 154.50 580.00 163.00 590.00 181.25 592.25 192.75","NULL","NULL",0,"ConvexHull"
"16890.png","559.50 116.38","Unknown","NULL","490.50 84.50 628.50 148.25","627.00 128.75 628.50 134.50 623.50 142.00 604.50 148.25 575.75 143.75 546.75 130.75 530.75 119.25 513.25 107.50 504.00 99.50 490.50 93.75 490.50 86.75 505.25 84.50 520.00 85.00 539.75 89.75 555.75 91.00 577.00 93.75 599.00 100.25 616.25 111.00 623.75 118.50","NULL","NULL",0,"ConvexHull"
"16890.png","230.25 433.50","Unknown","NULL","208.00 402.25 252.50 464.75","233.00 464.75 220.00 461.75 208.00 455.50 209.25 440.50 211.25 417.75 221.00 410.25 227.75 402.25 242.00 405.75 251.50 411.25 252.50 424.75 252.00 439.75 247.25 455.00 240.75 460.75","NULL","NULL",0,"ConvexHull"
"18445.png","388.62 308.75","Unknown","NULL","314.00 215.50 463.25 402.00","322.50 402.00 314.00 379.00 328.00 341.50 343.00 308.50 359.00 304.00 374.50 292.50 385.25 284.00 398.75 235.50 412.50 222.50 425.00 218.00 431.25 216.50 448.75 215.50 458.25 221.75 463.25 237.75 458.75 255.75 449.00 274.75 441.25 287.50 430.75 308.00 416.25 338.75 401.75 347.00 374.00 385.50 342.50 401.00","NULL","NULL",0,"ConvexHull"
"203.png","846.00 681.75","Unknown","NULL","752.50 612.00 939.50 751.50","920.00 704.50 896.50 708.00 873.50 728.00 841.00 747.00 805.50 750.00 767.50 751.50 755.50 734.50 752.50 708.00 763.50 688.00 793.50 668.50 833.50 650.50 871.50 648.50 895.00 635.50 914.50 615.00 939.50 612.00 939.00 624.50 931.00 638.50 927.00 660.00 929.00 685.00","NULL","NULL",0,"ConvexHull"
"203.png","628.62 103.50","Unknown","NULL","591.75 83.75 665.50 123.25","613.00 85.25 596.00 85.50 591.75 100.25 592.25 114.25 602.75 117.50 623.00 123.25 640.00 119.75 657.00 119.50 665.50 107.75 659.75 97.00 650.00 98.75 643.00 90.50 635.25 87.75 625.25 83.75","NULL","NULL",0,"ConvexHull"
"203.png","737.38 256.88","Unknown","NULL","696.00 218.25 778.75 295.50","707.50 247.00 720.00 235.50 737.25 232.25 747.75 225.50 762.75 218.25 778.75 224.75 776.25 236.50 775.25 247.75 774.75 259.00 766.50 276.25 748.25 285.25 724.25 288.50 715.00 295.25 702.50 295.50 696.00 289.00 697.50 275.75 702.50 258.00","NULL","NULL",0,"ConvexHull"
"203.png","607.50 382.50","Unknown","NULL","572.75 352.00 642.25 413.00","612.25 413.00 592.00 404.25 576.00 392.25 572.75 374.00 590.25 365.00 596.75 354.25 615.50 352.75 628.75 352.00 637.75 363.00 642.25 376.75 639.75 391.25 628.25 404.75","NULL","NULL",0,"ConvexHull"
"203.png","530.12 373.12","Unknown","NULL","497.75 339.25 562.50 407.00","544.25 407.00 525.00 400.75 509.25 392.00 500.25 383.25 497.75 360.00 504.00 348.75 519.25 340.25 534.75 340.25 549.25 339.25 554.25 347.00 553.25 367.50 562.50 379.75 555.00 392.75 547.50 399.25","NULL","NULL",0,"ConvexHull"
"203.png","617.25 903.50","Unknown","NULL","579.50 871.00 655.00 936.00","635.00 931.75 611.00 936.00 589.75 928.25 581.50 917.00 579.50 905.00 588.25 893.25 602.75 877.50 613.50 871.75 624.25 871.00 638.00 872.50 649.00 880.25 654.00 893.75 655.00 908.00 651.00 919.75 644.25 926.00","NULL","NULL",0,"ConvexHull"
